group_ID,site,week_time,date,weather,time_block,hours_spent_on_site,start_time,activity,sex,age,dogs,dog_size,observer,confirmed,group_size,people_per_hour
LL_JU12_2pm_11,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_11,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_12,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,1,S,NL,Y,1,113
LL_JU12_2pm_13,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_16,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_17,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_17,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_18,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_18,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,C,0,NA,NL,Y,2,113
LL_JU12_2pm_19,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_20,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_21,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_22,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_22,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_23,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,run,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_24,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,1,S,NL,Y,2,113
LL_JU12_2pm_25,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_26,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_26,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_27,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_27,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_28,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_29,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_32,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_33,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_34,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_35,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_38,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_38,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_39,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,wheels,F,C,0,NA,NL,Y,3,113
LL_JU12_2pm_39,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,wheels,F,C,0,NA,NL,Y,3,113
LL_JU12_2pm_40,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_40,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_41,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_42,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_43,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,1,S,NL,Y,1,113
LL_JU12_2pm_44,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_44,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,4,113
LL_JU12_2pm_45,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_45,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,3,113
LL_JU12_2pm_48,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_50,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_51,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_51,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_53,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_54,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_55,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,1,113
LL_JU12_2pm_58,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_59,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,1,S,NL,Y,2,113
LL_JU12_2pm_60,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,F,A,0,NA,NL,Y,2,113
LL_JU12_2pm_2,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_3,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_4,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_4,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_5,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,1,S,NL,Y,1,113
